ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
9468	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9469	0.99999875	0.99345034	0.9981158	0.08451252	0.2863895	0.8721113	0.999576	0.08451252	0.83923244	0.9191241	0.99804586	0.96267647	0.97945607	0.79326195	0.21668486	1.0	0.11397847	0.6181474	0.91550666	0.50833005	0.54903984	0.48825127	0.99999994	0.99023485	0.99959797	0.9715424	0.74914104	0.99996114	1.0	0.99902046	0.9998962	0.4235189	0.9868868	0.26800978	0.98329246	0.9995065	0.9985128	0.19371612
947	0.30694038	0.8484794	0.9132177	0.95494175	0.3964404	0.72342086	0.8836318	0.13588122	0.29974827	0.26003647	0.6688862	0.9137862	0.9826111	0.6294513	0.5810552	0.1569679	0.707604	0.50797695	0.6854482	0.7830615	0.76510215	0.5557537	0.9815024	0.39409977	0.5544249	0.64478636	0.96330553	0.96009165	0.8024376	0.16465221	0.7438005	0.2996779	0.51875204	0.5034354	0.41630408	0.87517536	0.3811117	0.12522551
9470	0.39315975	0.39086637	0.39086637	0.39086637	0.39315975	0.39086637	0.39086637	0.39086637	0.39086637	0.39086637	0.39086637	0.39086637	0.39086637	0.39315975	0.39086637	0.39086637	0.39086637	0.39315975	0.39086637	0.39086637	0.39086637	0.39315975	0.39086637	0.39086637	0.39086637	0.39086637	0.39086637	0.39086637	0.39315975	0.39086637	0.39315975	0.39086637	0.39086637	0.39315975	0.39315975	0.39315975	0.39086637	0.39086637
9472	1.9164157E-5	0.47886166	6.744703E-4	8.094504E-4	0.9972547	2.1548385E-7	5.0369313E-6	1.8276325E-4	9.716777E-10	7.075662E-10	1.02795134E-10	1.5280122E-9	1.2842237E-4	0.007114615	7.869737E-4	0.0040891995	0.008497269	3.9373635E-6	0.0016809631	0.0015312629	0.091275886	0.0024307328	1.8102676E-4	0.02050105	0.0034244452	0.0107611725	0.38925734	0.04709954	0.33491814	0.018490527	7.3759607E-4	0.0045742164	1.07204105E-4	0.08420894	0.0064543886	0.6967038	0.011095708	0.33853745
9473	0.8919206	0.16623276	0.26420587	0.26420587	0.26420587	0.26420587	0.87502426	0.26420587	0.5459217	0.33679038	0.6614109	0.8871563	0.76504	0.26420587	0.26420587	0.641353	0.16623276	0.26420587	0.26420587	0.16810732	0.8950193	0.26420587	0.88498443	0.26420587	0.63901484	0.26420587	0.16623276	0.18073267	1.0	0.24073073	0.26420587	0.840822	0.26420587	0.26420587	0.732025	0.26420587	0.26420587	0.64577115
9474	0.6308111	0.06322569	0.27181748	0.0054196403	0.34461418	0.010015404	0.99959105	0.0054196403	0.0054196403	0.2941487	0.0054196403	0.0054196403	0.069694385	0.034714755	0.0054196403	0.0054196403	0.25411943	0.99973893	0.5131428	0.0054196403	0.0054196403	0.0054196403	0.0054196403	0.18727826	0.2531971	0.0054196403	0.99879473	0.73878866	0.028993303	0.0054196403	0.32123733	0.0054196403	0.013542335	0.017702185	0.049968123	0.7050652	0.0062592183	0.010996762
9475	2.486033E-6	0.017055329	0.09613002	0.02152702	0.7892547	3.918773E-5	0.0023656473	0.04573411	3.3035216E-5	4.387671E-4	0.0096752485	9.4075556E-5	1.7437944E-5	0.15636452	8.6214935E-4	0.0049718237	0.11048993	8.791926E-4	2.4713394E-5	0.44368967	7.498489E-4	1.5504209E-5	5.825728E-7	0.22363864	0.0014253145	0.044242475	2.0816394E-6	8.170875E-5	3.1259955E-5	0.48563093	0.057651177	0.0038202563	0.0021787402	0.0016661682	0.0074131386	8.4007735E-4	0.010982435	0.08520043
9477	0.18781067	0.9999891	0.18781067	0.4183399	0.86659163	0.18781067	0.8463489	0.4886289	0.99607396	0.18781067	0.9678809	0.9696225	0.90069336	0.7172493	0.18781067	0.40891913	0.18781067	0.2847571	0.9970663	0.9888185	0.9781515	0.84082294	0.9997974	0.2128389	0.39431572	0.18781067	0.95684344	0.7529722	0.9748856	0.96624917	1.0	0.18781067	0.62614954	0.28480512	0.3515157	0.70218825	0.41889247	0.18781067
9478	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
