ID	10 CN A	102 CN A	12 CN A	13 CN A	16 CN A	19 CN A	22 CN A	3 CN A	45 CN A	51 CN A	59 CN A	60 CN A	62 CN A	7 CN A	9 CN A	HC102 CN A	HC103 CN A	HC105 CN A	HC52 CN A	HC53 CN A	HC55 CN A	HC57 CN A	HC61 CN A	HC62 CN A	HC65 CN A	HC66 CN A	HC68 CN A	HC69 CN A	HC71 CN A	HC72 CN A	HC73 CN A	HC74 CN A	HC76 CN A	HC80 CN A	HC81 CN A	HC82 CN A	HC83 CN A	HC86 CN A
10052	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10053	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402	0.5406402
10054	7.659793E-4	0.009530187	0.2032966	0.01451242	0.6811335	0.73006916	0.22697783	0.2706107	0.9069745	0.0853802	0.13542348	0.870283	0.39372766	0.8146885	0.34992135	0.54772747	0.4494226	0.32642156	0.7659403	0.65014696	0.8757529	0.99553293	0.97916746	2.1755695E-5	0.7030302	0.6986375	0.92640656	0.6039175	0.9264271	0.11931038	0.101204574	0.051187873	0.9909528	0.4863627	0.4192521	0.93282115	0.7416248	0.08989322
10057	0.9999925	0.9996226	0.026582837	0.94517624	0.05106598	0.9996635	0.99999034	0.999817	0.9999892	1.0	0.9999971	0.9998498	0.99998885	0.085995495	0.9999997	0.9971439	0.45268285	0.9952577	0.99988323	0.9999756	0.036164343	0.9807799	0.9726712	0.9822746	0.68526965	0.51993215	0.9006932	0.99999994	0.997447	0.07634854	0.44248033	0.98063755	0.99999875	0.6994724	0.6225747	0.999998	0.75656676	0.27968895
10058	0.37956595	0.42969942	0.08434719	0.47642308	0.132904	0.2821145	0.06652403	0.76417327	0.6506418	0.7686475	0.748994	0.799476	0.21373153	0.61731124	0.4492581	0.28026152	0.20779675	0.6480476	0.8459755	0.20505697	0.008714914	0.53807193	0.08920801	0.24751532	0.25242865	0.28698754	0.29803497	0.1201548	0.13641405	0.22908556	0.44115365	0.55874395	0.7351415	0.33130723	0.5992582	0.3077253	0.26936316	0.4895923
10059	0.99858046	0.94967115	0.99918735	0.97767687	0.105617225	0.9997731	0.99918956	0.9988972	0.999397	0.9999705	0.9999623	0.9982806	0.9980691	0.9990954	0.99976283	0.99918926	0.31367803	0.48896897	0.97874516	0.9999206	0.99991965	0.99735403	0.99518764	0.97816885	0.91518724	0.97038096	0.61967343	0.99805254	0.9391418	0.9993388	0.9996445	0.9942884	0.9996762	0.8954884	0.98391974	0.96114576	0.9905598	0.9071663
1006	0.9088814	0.6668198	0.90186065	0.6918471	0.19758016	0.9088814	0.9088814	0.9088814	0.9088814	0.9088814	0.9088814	0.8761853	0.9088814	0.67917174	0.9088814	0.9088814	0.5690522	0.5313053	0.8237102	0.78609246	0.7584465	0.9088814	0.9088814	0.9088814	0.88379043	0.9088814	0.8358076	0.9088814	0.9088814	0.7259141	0.39442575	0.79283506	0.80355597	0.73779476	0.9088814	0.8857676	0.9088814	0.49520552
10060	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10061	0.2412157	0.010083139	0.49359268	0.95124596	0.673213	0.0025243163	0.12632555	0.5776651	0.6599535	0.91091657	0.30939072	0.8685899	0.088516474	0.7417121	0.4020121	0.3613162	0.95677805	0.440943	0.35876626	0.49569476	0.8695608	0.5950719	4.478097E-4	0.042784154	0.64680624	0.70984554	0.02994299	0.07727337	0.021685362	0.041533172	0.76646584	0.7929309	0.8250585	0.98711884	0.028603375	0.0285483	0.37144363	0.107972205
10062	0.31965423	0.0037372708	0.41062188	0.74433535	0.5736141	1.4346838E-4	0.10975301	0.554959	0.008346498	0.74433535	0.02407372	0.5010053	2.6237965E-4	5.886555E-4	0.74433535	0.74433535	0.19833195	0.44515502	0.49331808	0.7008213	9.894371E-6	0.37792158	0.74433535	0.74433535	0.74433535	0.3157485	0.24788457	0.35198307	0.48568594	0.74433535	0.17712182	0.74433535	0.74433535	0.17846197	0.74433535	1.13248825E-5	0.3835029	0.74433535
