ERBB3	PIK3R1
PIK3R1	TGFBR1
PIK3R1	TUBG1
PIK3R1	SH3KBP1
PIK3R1	WAS
ERAS	PIK3R1
CSF2RA	PIK3R1
ARAF	PIK3R1
PIK3R1	SYN1
PIK3R1	RRAS2
CD3EAP	UBTF
MST1R	PIK3R1
PIK3R1	TEK
PIK3R1	TIE1
PIK3R1	SHB
PIK3R1	TYRO3
PIK3R1	SLC9A2
PIK3R1	SHC1
PIK3R1	PTK2
IRS2	PIK3R1
INPP4A	PIK3R1
CD3EAP	TAF1A
GHR	PIK3R1
MAPK8	PIK3R1
PIK3R1	PTK2B
CTSD	SLC2A4
CRKL	PIK3R1
PIK3R1	RAC1
PIK3R1	TUBA1B
IL1RAP	PIK3R1
ADAM12	PIK3R1
ARHGAP1	PIK3R1
CAPN3	FLNC
CD3E	CD3EAP
PIK3CD	PIK3R1
PIK3CB	PIK3R1
BCAR1	PIK3R1
IRS4	PIK3R1
PIK3R1	SOCS1
CD2AP	PIK3R1
HGS	PIK3R1
GAB1	PIK3R1
PIK3R1	TOM1L1
PIK3R1	TRAT1
CD3EAP	POLR1E
PIK3R1	YWHAG
AGAP2	PIK3R1
PIK3R1	VAV3
GAB2	PIK3R1
PIK3AP1	PIK3R1
GAB3	PIK3R1
CD3E	PIK3R1
PIK3R1	PPM1A
PIK3R1	WBP11
IFNAR1	IFNW1
ARF3	SLC2A4
HK2	SLC2A4
PDGFRB	PIK3CA
PIK3CA	PRKCD
HRAS	PIK3CA
PIK3CA	SH3KBP1
GNAQ	PIK3CA
IRS4	PIK3CA
SERPINH1	SLC2A4
PIK3CA	PIK3R3
IFNA2	IFNAR1
MRAS	PIK3CA
PIK3CA	RASD2
GABRB1	PIK3CA
PFKFB2	PRKCA
PFKFB2	PRKAA2
PFKFB2	YWHAZ
PFKFB2	PRKACA
PFKFB2	PRKAA1
CFL1	SLC2A4
DYNLL1	PFKP
IFNAR1	IFNB1
SLC2A4	STRN3
MVP	SLC2A4
PFKL	PFKM
PDIA6	SLC2A4
SLC2A4	UBA52
DLD	SLC2A4
BSG	SLC2A4
APOA1	PDE1A
HSP90AA1	SLC2A4
IFNAR1	PIK3R1
SLC2A4	UBE2N
KBTBD10	SLC2A4
ARFIP1	SLC2A4
PGM1	S100A1
PGM1	S100B
LEPRE1	SLC2A4
ACTN1	SLC2A4
NAA38	PGD
MAP1S	SLC2A4
FAR1	SLC2A4
IFNAR1	PTPN11
PSMD7	SLC2A4
PLN	S100A1
PLN	PPP1R3A
PLN	PRKACA
PLN	SLN
ESYT2	SLC2A4
PLA2G1B	PLA2G2A
BGN	PLA2G1B
PLA2G1B	PLAA
C1QTNF5	SLC2A4
IFNAR1	PTPN6
CCDC116	SLC2A4
PLA2G2A	PLA2R1
PDGFRB	PLCG1
PECAM1	PLCG1
PDGFRA	PLCG1
FGFR2	PLCG1
PLCG1	ZAP70
GNB2L1	PLCG1
PLCG1	SOS1
CD28	PLCG1
IFNAR1	TYK2
ITK	PLCG1
GTF2H1	PLCG1
PLCG1	SRC
NTRK1	PLCG1
NTRK3	PLCG1
PLCG1	WAS
PLCG1	SYN1
PLCG1	SYK
MST1R	PLCG1
PITPNA	PLCG1
IFNAR1	MAPK1
FKBP10	SLC2A4
PLCG1	SHB
DDR1	PLCG1
PLCG1	PTK2
IRS2	PLCG1
PLCG1	PTPRJ
PLCG1	TUB
PLCG1	SOS2
DGKZ	PLCG1
LCP2	PLCG1
FLNC	FURIN
GNB2L1	IFNAR1
PLCG1	SH3BP2
LAT	PLCG1
PLCG1	PLD2
KHDRBS1	PLCG1
PKN2	PLCG1
PAK1	PLCG1
PICALM	PLCG1
DAB1	PLCG1
BAG3	PLCG1
GAB1	PLCG1
IFNAR1	STAT2
PLCG1	PRKD1
AGAP2	PLCG1
PLCG1	VAV3
PLCG1	SNAP91
GIT1	PLCG1
PLCG1	USO1
LAT2	PLCG1
PLCG1	TNK1
PLCG1	TRPM7
IFNAR1	PRKACA
PLCG1	SOCS7
PLCG1	TRPC3
IDH2	SLC2A4
ENO1	PLG
JUP	ZFYVE9
NIT1	ZFYVE9
SMAD1	ZBTB44
SMAD1	TTF2
CRKL	IFNAR1
CTRC	PHKG1
SNIP1	UBE2I
PHKG1	PHKG2
FAF1	SNIP1
PIAS2	SNIP1
HERC1	LAPTM5
SMAD4	TDG
SNIP1	TDG
PITX1	POU1F1
NR1I2	POU1F1
IFNAR1	PRMT1
NR1I3	POU1F1
SNIP1	ZMYM5
SETDB1	SNIP1
RNASE1	RNH1
PLG	SERPINB6
PROC	SERPINB6
F2	SERPINB6
PLAU	SERPINB6
F10	SERPINB6
MYOD1	SMAD4
CANX	IFNGR1
HIPK1	SNIP1
JUP	PECAM1
APC	JUP
JUP	PTPRF
CDH1	JUP
DSC3	JUP
JUP	PTPRJ
CTNND1	JUP
CDH5	JUP
JUP	PKD1
IFNGR1	IFNGR2
JUP	TCF7L2
JUP	PTPRK
JUP	PKP2
JUP	PTPN14
BTRC	JUP
AXIN1	JUP
SMAD9	SVEP1
PLG	SERPINE1
PLAT	PLG
IFNG	IFNGR1
PAPPA	PLG
PLG	PRNP
KLK3	PLG
MMP7	PLG
PLG	SPARC
CLEC3B	PLG
PLG	THBS1
PLAU	PLG
C7	PLG
IFNGR1	JAK1
F10	PLG
KNG1	PLG
PLG	SERPINF2
AMOT	PLG
PCOLCE	PLG
MEP1A	PLG
LAMA3	PLG
F2RL1	PLG
PLG	SERPINI1
CPB2	PLG
DEK	TFAP2A
PLG	SERPINB13
PLG	SERPING1
CHGA	PLG
NGF	PLG
PLG	TFPI2
PLG	RUVBL1
CDCP1	PLG
PRPF40A	SMAD4
PLAT	SERPINE1
F2	SERPINE1
FLNC	INPPL1
CASP1	TFAP2A
MMP3	SERPINE1
PLAU	SERPINE1
SERPINE1	VTN
LRP2	SERPINE1
LRP1B	SERPINE1
MAPK1	PLAT
PLAT	SPARC
CLEC3B	PLAT
PLAT	PLAU
F10	PLAT
TFAP2A	YBX1
LAMA3	PLAT
MAPK3	PLAT
PLAT	SERPINA5
PLAT	SERPINI1
PLAT	SERPING1
PRPF40A	SNRNP70
LRP1B	PLAT
CKAP4	PLAT
RB1	SERPINB2
PLAU	SERPINB2
RB1	TFAP2A
IRF3	SERPINB2
PLAU	PLAUR
PLAUR	VTN
KNG1	PLAUR
FAP	PLAUR
MMP12	PLAUR
LRP1B	PLAUR
ARR3	PTAFR
PTAFR	RGS4
TFAP2A	TP53
ITGB3	PDGFRB
PDGFRA	PDGFRB
EIF2AK2	PDGFRB
PDGFRB	PTPN11
PDGFRB	PTPN1
PDGFB	PDGFRB
NCK1	PDGFRB
PDGFRB	SHC1
PDGFRB	PTK2
PDGFRB	PTPRJ
CASP3	TFAP2A
COPB1	PDGFRB
PDGFRB	SNX1
BAG1	PDGFRB
GRB10	PDGFRB
GRB14	PDGFRB
COPA	PDGFRB
PDGFRB	S1PR1
NCK2	PDGFRB
PDGFRB	SLC9A3R1
PDAP1	PDGFRB
CASP6	TFAP2A
PDGFRB	PTPN2
PDGFRB	SNX2
PDGFRB	SNX4
PDGFD	PDGFRB
PDGFA	PDGFRA
PDGFA	SPARC
DUSP3	PDGFA
PDAP1	PDGFA
TFAP2A	WWP1
ITGB3	PECAM1
PECAM1	PTPN11
PECAM1	PTPN6
PECAM1	PRKCE
PECAM1	SRC
INPP5D	PECAM1
BAT3	PRPF40A
PF4	PROC
PF4	SRGN
PF4	THBD
TFAP2A	WWP2
CXCR3	PF4
LDLR	PF4
PIR	SMAD9
ITGB3	PDGFRA
CD36	ITGB3
ITGB3	TLN1
ITGB3	THBS1
ITGB3	SRC
ITGB3	TGM2
MAGI1	TFAP2A
ITGAV	ITGB3
ITGB3	P2RY2
EPS8	ITGB3
ITGB3	PTK2
